ID_BAYAR,ID_SEWA,ID_ADMIN,METODE_BAYAR,DP_AWAL,SISA_BAYAR,TOTAL_BAYAR,TGL_BAYAR,STATUS_BAYAR,BUKTI_TRANSFER
1,1,1,CASH,0,0,0,3/25/2024,BELUM BAYAR,
2,2,1,QRIS,330000,0,1100000,12/11/2024,LUNAS,
3,3,5,KARTU KREDIT,1350000,0,4500000,6/7/2024,LUNAS,
4,4,4,KARTU KREDIT,495000,0,1650000,6/21/2024,LUNAS,
5,5,2,TRANSFER,960000,0,3200000,1/30/2024,LUNAS,BUKTI-5-2024
6,6,4,TRANSFER,900000,0,3000000,12/6/2024,LUNAS,BUKTI-6-2024
7,7,4,KARTU KREDIT,405000,0,1350000,10/19/2024,LUNAS,
8,8,5,CASH,735000,1715000,2450000,5/17/2024,DP,
9,9,4,TRANSFER,1830000,0,6100000,3/1/2024,LUNAS,BUKTI-9-2024
10,10,5,TRANSFER,636000,0,2120000,3/26/2024,LUNAS,BUKTI-10-2024
11,11,5,TRANSFER,0,0,0,11/16/2024,BELUM BAYAR,BUKTI-11-2024
12,12,4,TRANSFER,930000,0,3100000,1/15/2024,LUNAS,BUKTI-12-2024
13,13,3,TRANSFER,348000,0,1160000,4/17/2024,LUNAS,BUKTI-13-2024
14,14,4,TRANSFER,405000,945000,1350000,8/6/2024,DP,BUKTI-14-2024
15,15,4,TRANSFER,348000,0,1160000,9/16/2024,LUNAS,BUKTI-15-2024
16,16,2,QRIS,3150000,0,10500000,2/12/2024,LUNAS,
17,17,2,TRANSFER,0,0,0,2/12/2024,BELUM BAYAR,BUKTI-17-2024
18,18,2,KARTU KREDIT,495000,0,1650000,12/19/2024,LUNAS,
19,19,4,QRIS,240000,0,800000,12/3/2024,LUNAS,
20,20,1,KARTU KREDIT,510000,0,1700000,12/23/2024,LUNAS,
21,21,1,TRANSFER,0,0,0,11/27/2024,BELUM BAYAR,BUKTI-21-2024
22,22,4,CASH,945000,0,3150000,7/4/2024,LUNAS,
23,23,1,KARTU KREDIT,798000,0,2660000,9/28/2024,LUNAS,
24,24,3,TRANSFER,651000,0,2170000,1/14/2024,LUNAS,BUKTI-24-2024
25,25,5,QRIS,0,0,0,12/25/2024,BELUM BAYAR,
26,26,2,CASH,1365000,0,4550000,6/4/2024,LUNAS,
27,27,3,TRANSFER,1890000,0,6300000,12/23/2024,LUNAS,BUKTI-27-2024
28,28,2,KARTU KREDIT,450000,1050000,1500000,1/29/2024,DP,
29,29,4,TRANSFER,270000,0,900000,5/11/2024,LUNAS,BUKTI-29-2024
30,30,3,TRANSFER,480000,0,1600000,4/8/2024,LUNAS,BUKTI-30-2024
31,31,1,QRIS,990000,0,3300000,12/12/2024,LUNAS,
32,32,4,CASH,180000,0,600000,8/11/2024,LUNAS,
33,33,5,KARTU KREDIT,87000,0,290000,7/10/2024,LUNAS,
34,34,1,KARTU KREDIT,96000,0,320000,12/26/2024,LUNAS,
35,35,1,QRIS,390000,0,1300000,12/4/2024,LUNAS,
36,36,3,QRIS,0,0,0,11/4/2024,BELUM BAYAR,
37,37,4,TRANSFER,1440000,3360000,4800000,11/15/2024,DP,BUKTI-37-2024
38,38,1,KARTU KREDIT,1350000,0,4500000,2/11/2024,LUNAS,
39,39,3,KARTU KREDIT,765000,0,2550000,6/26/2024,LUNAS,
40,40,5,KARTU KREDIT,87000,0,290000,3/19/2024,LUNAS,
41,41,5,QRIS,1620000,0,5400000,8/19/2024,LUNAS,
42,42,1,TRANSFER,1260000,0,4200000,1/26/2024,LUNAS,BUKTI-42-2024
43,43,4,TRANSFER,0,0,0,7/22/2024,BELUM BAYAR,BUKTI-43-2024
44,44,1,CASH,450000,0,1500000,5/19/2024,LUNAS,
45,45,4,TRANSFER,270000,0,900000,12/4/2024,LUNAS,BUKTI-45-2024
46,46,5,TRANSFER,2700000,0,9000000,1/15/2024,LUNAS,BUKTI-46-2024
47,47,1,QRIS,651000,0,2170000,6/22/2024,LUNAS,
48,48,2,TRANSFER,810000,0,2700000,2/19/2024,LUNAS,BUKTI-48-2024
49,49,2,KARTU KREDIT,0,0,0,1/16/2024,BELUM BAYAR,
50,50,1,CASH,825000,0,2750000,6/11/2024,LUNAS,
51,51,4,QRIS,735000,0,2450000,6/30/2024,LUNAS,
52,52,5,TRANSFER,87000,0,290000,6/12/2024,LUNAS,BUKTI-52-2024
53,53,5,TRANSFER,225000,0,750000,10/26/2024,LUNAS,BUKTI-53-2024
54,54,3,QRIS,270000,0,900000,3/15/2024,LUNAS,
55,55,5,QRIS,735000,1715000,2450000,3/3/2024,DP,
56,56,3,TRANSFER,495000,0,1650000,4/29/2024,LUNAS,BUKTI-56-2024
57,57,5,QRIS,1290000,0,4300000,6/16/2024,LUNAS,
58,58,4,QRIS,0,0,0,2/19/2024,BELUM BAYAR,
59,59,3,QRIS,210000,0,700000,4/29/2024,LUNAS,
60,60,4,CASH,816000,0,2720000,12/7/2024,LUNAS,
61,61,1,TRANSFER,465000,0,1550000,12/14/2024,LUNAS,BUKTI-61-2024
62,62,3,QRIS,1080000,0,3600000,1/1/2024,LUNAS,
63,63,2,QRIS,1200000,0,4000000,12/24/2024,LUNAS,
64,64,5,TRANSFER,570000,0,1900000,8/12/2024,LUNAS,BUKTI-64-2024
65,65,1,TRANSFER,576000,0,1920000,12/19/2024,LUNAS,BUKTI-65-2024
66,66,1,TRANSFER,630000,0,2100000,10/24/2024,LUNAS,BUKTI-66-2024
67,67,5,QRIS,1080000,0,3600000,6/1/2024,LUNAS,
68,68,4,TRANSFER,192000,0,640000,12/12/2024,LUNAS,BUKTI-68-2024
69,69,5,QRIS,225000,0,750000,4/23/2024,LUNAS,
70,70,1,CASH,540000,0,1800000,5/15/2024,LUNAS,
71,71,3,CASH,93000,0,310000,10/2/2024,LUNAS,
72,72,1,KARTU KREDIT,600000,0,2000000,9/2/2024,LUNAS,
73,73,1,CASH,180000,0,600000,6/30/2024,LUNAS,
74,74,2,QRIS,1008000,0,3360000,6/7/2024,LUNAS,
75,75,2,CASH,2520000,0,8400000,10/2/2024,LUNAS,
76,76,1,TRANSFER,0,0,0,12/14/2024,BELUM BAYAR,BUKTI-76-2024
77,77,4,QRIS,735000,1715000,2450000,6/17/2024,DP,
78,78,2,QRIS,248000,577000,825000,11/5/2024,DP,
79,79,3,TRANSFER,360000,0,1200000,6/17/2024,LUNAS,BUKTI-79-2024
80,80,1,TRANSFER,1005000,0,3350000,10/26/2024,LUNAS,BUKTI-80-2024
81,81,1,CASH,300000,0,1000000,6/17/2024,LUNAS,
82,82,1,CASH,420000,0,1400000,6/11/2024,LUNAS,
83,83,2,KARTU KREDIT,1140000,0,3800000,2/22/2024,LUNAS,
84,84,2,QRIS,285000,0,950000,3/10/2024,LUNAS,
85,85,3,QRIS,225000,0,750000,9/19/2024,LUNAS,
86,86,1,TRANSFER,180000,420000,600000,4/15/2024,DP,BUKTI-86-2024
87,87,4,TRANSFER,195000,0,650000,3/28/2024,LUNAS,BUKTI-87-2024
88,88,5,QRIS,1260000,0,4200000,12/5/2024,LUNAS,
89,89,1,QRIS,150000,0,500000,5/28/2024,LUNAS,
90,90,2,CASH,864000,0,2880000,9/8/2024,LUNAS,
91,91,2,KARTU KREDIT,0,0,0,12/16/2024,BELUM BAYAR,
92,92,4,KARTU KREDIT,578000,0,1925000,11/5/2024,LUNAS,
93,93,3,CASH,165000,0,550000,7/25/2024,LUNAS,
94,94,3,QRIS,636000,0,2120000,12/25/2024,LUNAS,
95,95,2,CASH,315000,735000,1050000,6/6/2024,DP,
96,96,1,KARTU KREDIT,630000,0,2100000,10/13/2024,LUNAS,
97,97,5,CASH,300000,0,1000000,5/12/2024,LUNAS,
98,98,3,QRIS,630000,0,2100000,12/3/2024,LUNAS,
99,99,2,TRANSFER,165000,0,550000,12/15/2024,LUNAS,BUKTI-99-2024
100,100,4,QRIS,0,0,0,11/1/2024,BELUM BAYAR,
101,101,5,TRANSFER,279000,0,930000,12/3/2024,LUNAS,BUKTI-101-2024
102,102,1,TRANSFER,384000,0,1280000,4/1/2024,LUNAS,BUKTI-102-2024
103,103,2,KARTU KREDIT,288000,0,960000,12/19/2024,LUNAS,
104,104,4,CASH,150000,0,500000,8/22/2024,LUNAS,
105,105,5,CASH,300000,0,1000000,7/8/2024,LUNAS,
106,106,5,QRIS,720000,1680000,2400000,6/19/2024,DP,
107,107,1,TRANSFER,615000,0,2050000,7/28/2024,LUNAS,BUKTI-107-2024
108,108,5,KARTU KREDIT,413000,0,1375000,12/21/2024,LUNAS,
109,109,2,CASH,882000,0,2940000,9/17/2024,LUNAS,
110,110,5,TRANSFER,1350000,0,4500000,6/27/2024,LUNAS,BUKTI-110-2024
